run_id,done,status,platform,architecture,analysis_role,cv_fold,outer_split_seed,inner_split_seed,training_seed,fit_train_cases,fit_train_patients,tuning_cases,tuning_patients,outer_test_cases,outer_test_patients,completed_epochs,best_epoch,best_tuning_dice,outer_test_all_postoperative_mean_dice,archive_validation,prediction_files,archive_bytes,archive_sha256,organized_zip,original_zip,expected_zip,canonical_notebook,canonical_notebook_sha256,split_sha256,training_budget,notes
no11,YES,DONE_VALIDATED,RTX 3050,Residual 3D U-Net,primary_five_fold_cross_validation,4,2026,6206,2026,379,130,96,33,119,40,38,37,0.54591304063797,0.8074478295868168,PASS,119,147419814,f6eebf164bef0cd8298838e0541425e7f33831124fc76b284cf5cb424403ad4e,Returned_Results/matrix_runs/no11/MU_Glioma_no11_residual-unet_fold4_seed2026_results.zip,local_training_outputs/MU_Glioma_no11_residual-unet_fold4_seed2026_results.zip,MU_Glioma_no11_residual-unet_fold4_seed2026_results.zip,no11.ipynb,a3cbdc54b4cd7c0aa7f6a277f3903ca363c4997b010f1c5b1b4086259ba6193e,a664a27ef9b23f6f5d0131128e0350bdcf6569cfa08e28047c24f652bcce125e,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,
no12,YES,DONE_VALIDATED,RTX 3050,Residual 3D U-Net,primary_five_fold_cross_validation,5,2026,6207,2026,380,130,96,33,118,40,55,50,0.6293785572052002,0.7981766212243573,PASS,118,146569944,c884fa5809f2087187180cc0bd32c8a8848c650c3315073388c495933e695736,Returned_Results/matrix_runs/no12/MU_Glioma_no12_residual-unet_fold5_seed2026_results.zip,local_training_outputs/MU_Glioma_no12_residual-unet_fold5_seed2026_results.zip,MU_Glioma_no12_residual-unet_fold5_seed2026_results.zip,no12.ipynb,c54c99e46397dd6255eb55082ecdfe2e7252c9fdb0a930bb9f1b82c2963a485a,fc04313973b90ab73bb65d621636de5410401e019c84d80c93c3efa1c73ef1e6,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,
no13,YES,DONE_VALIDATED,RTX 3050,Residual 3D U-Net,training_seed_robustness_fold1,1,2026,6203,2027,381,130,94,32,119,41,44,43,0.5414451360702515,0.8071156701057021,PASS,119,147103491,a3616ab4119a8f4487bfe24d930c4fd389aec325ac9134e94d5e15f5459f98c9,Returned_Results/matrix_runs/no13/MU_Glioma_no13_residual-unet_fold1_seed2027_results.zip,local_training_outputs/MU_Glioma_no13_residual-unet_fold1_seed2027_results.zip,MU_Glioma_no13_residual-unet_fold1_seed2027_results.zip,no13.ipynb,35edfd8de4122e03b3b85aa04b299017d7d514be6b1cba9dae01c3ee87b8e454,f2fb55fec280e117e4bc502844ace52e7eb5a8875e36d80ba5e292591c107eb0,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,
no14,YES,DONE_VALIDATED,RTX 3050,Residual 3D U-Net,training_seed_robustness_fold1,1,2026,6203,2028,381,130,94,32,119,41,48,48,0.595086395740509,0.8211006816726154,PASS,119,147192305,f73934465a66cdf782c0bc4c8db0fb92784a7bbe200f66c349a3b6b91571cf7f,Returned_Results/matrix_runs/no14/MU_Glioma_no14_residual-unet_fold1_seed2028_results.zip,local_training_outputs/MU_Glioma_no14_residual-unet_fold1_seed2028_results.zip,MU_Glioma_no14_residual-unet_fold1_seed2028_results.zip,no14.ipynb,066103f45e6e8848bad2d5d7440fa034083c5f52edb538fcacbd6d752bffcfa3,f2fb55fec280e117e4bc502844ace52e7eb5a8875e36d80ba5e292591c107eb0,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,
no15,YES,DONE_VALIDATED,RTX 3050,Controlled 3D V-Net,primary_five_fold_cross_validation,1,2026,6203,2026,381,130,94,32,119,41,51,51,0.6240944862365723,0.8142261332544418,PASS,119,251648606,b36cac1ca3694ea7af2dbaa2738cab5cd20fc38595c3dbbaa2723d2e8b6c602e,Returned_Results/matrix_runs/no15/MU_Glioma_no15_vnet_fold1_seed2026_results.zip,local_training_outputs/MU_Glioma_no15_vnet_fold1_seed2026_results.zip,MU_Glioma_no15_vnet_fold1_seed2026_results.zip,no15.ipynb,ed3aa555e908b163cc733dc9bee870c81225caa6077d6938de174af12972c0d5,f2fb55fec280e117e4bc502844ace52e7eb5a8875e36d80ba5e292591c107eb0,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,
no16,YES,DONE_VALIDATED,RTX 3050,Controlled 3D V-Net,primary_five_fold_cross_validation,2,2026,6204,2026,381,130,94,32,119,41,40,35,0.515745222568512,0.8134529529195778,PASS,119,251626230,071ffc57a073dfffb24ef802bb90b6eb6e177464487ace31525672d4af01e0ac,Returned_Results/matrix_runs/no16/MU_Glioma_no16_vnet_fold2_seed2026_results.zip,local_training_outputs/MU_Glioma_no16_vnet_fold2_seed2026_results.zip,MU_Glioma_no16_vnet_fold2_seed2026_results.zip,no16.ipynb,b59044e6dbb159b324b00e44bbd5429483a71f05e1d93c93048fb211460c00d9,675a1598256128813e41b8b301341050284feb0709de3c63bb6a72cd5601e22e,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,
no17,YES,DONE_VALIDATED,RTX 3050,Controlled 3D V-Net,primary_five_fold_cross_validation,3,2026,6205,2026,381,130,94,32,119,41,53,45,0.5321917533874512,0.7853856211648791,PASS,119,251563996,5312726ad6d68ebf7076a93c688a7d87766b92af7f6575d2e1af9837b02fc5f8,Returned_Results/matrix_runs/no17/MU_Glioma_no17_vnet_fold3_seed2026_results.zip,local_training_outputs/MU_Glioma_no17_vnet_fold3_seed2026_results.zip,MU_Glioma_no17_vnet_fold3_seed2026_results.zip,no17.ipynb,c96aa1be162c278cf4353e97504ac9ad9005845622b0810252e785494b8e94d8,03e6710ea8a4eb8a4e679830cf1d64bde85bd9c31bfc502cf292b9eb6079023e,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,
no18,YES,DONE_VALIDATED,RTX 3050,Controlled 3D V-Net,primary_five_fold_cross_validation,4,2026,6206,2026,379,130,96,33,119,40,53,45,0.5251361131668091,0.8085360518086172,PASS,119,252117201,5a6af3a4b90f853f3ac26aed49ef59dabbd0f713d5fc155ef676f1aebac7c70e,Returned_Results/matrix_runs/no18/MU_Glioma_no18_vnet_fold4_seed2026_results.zip,local_training_outputs/MU_Glioma_no18_vnet_fold4_seed2026_results.zip,MU_Glioma_no18_vnet_fold4_seed2026_results.zip,no18.ipynb,c506ddfbf5209c26bb7bf10d1095734e94da448d3ee697b79416077df8fc4e77,a664a27ef9b23f6f5d0131128e0350bdcf6569cfa08e28047c24f652bcce125e,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,
no19,YES,DONE_VALIDATED,RTX 3050,Controlled 3D V-Net,primary_five_fold_cross_validation,5,2026,6207,2026,380,130,96,33,118,40,57,54,0.6035133004188538,0.7902562321900065,PASS,118,251371025,eea31d08487af3281c28b4b29743bcb962e89247e32c736e41e06df61f855f1e,Returned_Results/matrix_runs/no19/MU_Glioma_no19_vnet_fold5_seed2026_results.zip,local_training_outputs/MU_Glioma_no19_vnet_fold5_seed2026_results.zip,MU_Glioma_no19_vnet_fold5_seed2026_results.zip,no19.ipynb,d3b398661ad97915f3cac0e5b49b697c237793e939cd2e0cd4af85840cdd98c4,fc04313973b90ab73bb65d621636de5410401e019c84d80c93c3efa1c73ef1e6,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,
no20,YES,DONE_VALIDATED,P100,Controlled 3D V-Net,training_seed_robustness_fold1,1,2026,6203,2027,381,130,94,32,119,41,48,40,0.4948097169399261,0.7781974581117596,PASS,119,230888628,d469d40939fc11e789d8f50d7360584c570e04212b8fae00e7dd487865c388b6,Returned_Results/matrix_runs/no20/MU_Glioma_no20_vnet_fold1_seed2027_results.zip,Kaggle_Returned_Zips/no20/MU_Glioma_no20_vnet_fold1_seed2027_results.zip,MU_Glioma_no20_vnet_fold1_seed2027_results.zip,no20.ipynb,c575e82a809dae8c1983cfa3626cba5debccd5a5270d313a7354a864711a52ee,f2fb55fec280e117e4bc502844ace52e7eb5a8875e36d80ba5e292591c107eb0,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,
no21,YES,DONE_VALIDATED,P100,Controlled 3D V-Net,training_seed_robustness_fold1,1,2026,6203,2028,381,130,94,32,119,41,47,39,0.5735242366790771,0.7710192031591623,PASS,119,231629115,0ba47d60dfc3fabbb83b6302731d8226e63b5764395bc3334e5ce628b5eb9ce3,Returned_Results/matrix_runs/no21/MU_Glioma_no21_vnet_fold1_seed2028_results.zip,Kaggle_Returned_Zips/no21/MU_Glioma_no21_vnet_fold1_seed2028_results.zip,MU_Glioma_no21_vnet_fold1_seed2028_results.zip,no21.ipynb,c8ed0c7915000692424239190f4bf68a4eaf19742cdc1daab31bcfff7ba3d8f8,f2fb55fec280e117e4bc502844ace52e7eb5a8875e36d80ba5e292591c107eb0,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,
