architecture,model_label,n_patients,mean_dice,bootstrap_ci95_low,bootstrap_ci95_high,sd_dice,median_dice,q1_dice,q3_dice
Standard 3D U-Net,3D U-Net,203,0.7743393093772741,0.7481000996018957,0.7989985298978576,0.184817928995021,0.8327739113423851,0.7334599738371387,0.8896564685865527
Residual 3D U-Net,Residual U-Net,203,0.7845840310069929,0.7589915233144988,0.8080184291369501,0.17801723186415724,0.8428312621174078,0.7447487509538802,0.8963907756897239
Controlled 3D V-Net,V-Net,203,0.7805517244290603,0.7547244731939161,0.8047409562381559,0.18234083614820532,0.8442018903369731,0.7285111752851514,0.8875829846307957
Controlled 3D U-Net++,U-Net++,203,0.7612631935418034,0.7347532670492374,0.7860811491023761,0.18745652051163206,0.8230599697049004,0.7150088214025206,0.888492171277915
nnU-Net v2 3D fullres,nnU-Net,203,0.8791462191024746,0.8563249332888596,0.8996698175581856,0.1582212977391732,0.9356466644564776,0.8874460552729126,0.9573599163044526
