architecture,n_patients,mean_dice,bootstrap_ci95_low,bootstrap_ci95_high,median_dice
Standard 3D U-Net,162,0.777554734750757,0.748967186131222,0.8040259449529682,0.8342994524387299
Residual 3D U-Net,162,0.788773370790316,0.7620381570119452,0.8132970506792068,0.8476241269189182
Controlled 3D V-Net,162,0.7832422337676249,0.7550100156510323,0.8092458263672382,0.8476484710292297
Controlled 3D U-Net++,162,0.7648350431150268,0.7356657851454326,0.7918949129079695,0.8280511100140908
nnU-Net v2 3D fullres,162,0.8819342480642712,0.8590247250656438,0.9027435781815097,0.9283370921214836
