comparison,comparator,reference,n_patients,median_paired_difference,bootstrap_ci95_low,bootstrap_ci95_high,mean_paired_difference,rank_biserial,wilcoxon_statistic,p_value,holm_adjusted_p
Residual U-Net vs 3D U-Net,Residual 3D U-Net,Standard 3D U-Net,162,0.010075053164152192,0.005161186174077237,0.01441323833218644,0.011218636039558956,0.3893812012421419,4031.0,1.718557559581385e-05,5.155672678744155e-05
V-Net vs 3D U-Net,Controlled 3D V-Net,Standard 3D U-Net,162,0.006830725485249489,0.004512279171884237,0.008838487175871712,0.005687499016867942,0.2698629099447095,4820.0,0.0028900985042811665,0.00438543656453188
U-Net++ vs 3D U-Net,Controlled 3D U-Net++,Standard 3D U-Net,162,-0.0035596857919286684,-0.008840411434153872,0.0008610660773682444,-0.012719691635730238,-0.2774369461486026,4770.0,0.00219271828226594,0.00438543656453188
nnU-Net vs Residual U-Net,nnU-Net v2 3D fullres,Residual 3D U-Net,162,0.0742702387209142,0.06593452815632173,0.08857044775206491,0.09316087727395506,0.9637961069453912,239.0,1.9419069325961116e-26,
