comparison,comparator,reference,n_patients,median_paired_difference,bootstrap_ci95_low,bootstrap_ci95_high,mean_paired_difference,rank_biserial,wilcoxon_statistic,p_value,comparison_family,holm_adjusted_p,gatekeeping_friedman_p
Residual U-Net vs 3D U-Net,Residual 3D U-Net,Standard 3D U-Net,203,0.00895594484682738,0.005395652898218306,0.01227209582765798,0.01024472162971873,0.3982420554428668,6230.0,8.65765492538542e-07,Controlled Keras; Holm family,2.597296477615626e-06,3.0100610198468735e-10
V-Net vs 3D U-Net,Controlled 3D V-Net,Standard 3D U-Net,203,0.005751054384341536,0.003318366938577566,0.007798639741008917,0.006212415051786045,0.2719984545542355,7537.0,0.0007785807072372054,Controlled Keras; Holm family,0.0007785807072372054,3.0100610198468735e-10
U-Net++ vs 3D U-Net,Controlled 3D U-Net++,Standard 3D U-Net,203,-0.004962594025101019,-0.009471214725797261,0.0002057053616764115,-0.01307611583547084,-0.3146913937988989,7095.0,0.0001011849807998647,Controlled Keras; Holm family,0.0002023699615997294,3.0100610198468735e-10
nnU-Net vs Residual U-Net,nnU-Net v2 3D fullres,Residual 3D U-Net,203,0.07601100972006991,0.06761436382836516,0.08888177638480643,0.09456218809548163,0.9693808557905921,317.0,4.755990196271263e-33,Prespecified whole-pipeline comparison,,
