architecture,runs,parameters,completed_epochs_median,completed_epochs_min,completed_epochs_max,training_hours_median,training_hours_min,training_hours_max,inference_seconds_per_case_median,peak_gpu_memory_gib_median,peak_gpu_memory_gib_min,peak_gpu_memory_gib_max,archive_mib_median,platforms
Standard 3D U-Net,5,5647749,62.0,53,68,3.3504963109627774,2.033588860015281,4.00870580368361,10.701116364613492,2.526329278945923,1.4013671875,2.526329278945923,137.90160179138184,P100; RTX 3050; T4
Residual 3D U-Net,5,5736325,47.0,38,55,1.73799113305,1.21238334857139,2.804353293175,6.988725999117821,1.4359130859375,1.4359130859375,2.5421981811523438,140.2778778076172,P100; RTX 3050
Controlled 3D V-Net,5,10082069,53.0,40,57,1.6761499095602792,1.190294129181667,1.8618209154080534,7.464829516663493,1.5009522438049316,1.5009522438049316,1.5141358375549316,239.96947288513184,RTX 3050
Controlled 3D U-Net++,5,6554101,51.0,34,65,2.304432901693508,1.5203264556080103,3.0007273957795566,8.600850217294793,2.562094211578369,2.562094211578369,2.562094211578369,158.96466732025146,A40
nnU-Net v2 3D fullres,5,31200601,107.0,100,150,6.716398035608905,4.3135126474784276,10.79778890988334,2.7354933577120115,8.0224609375,7.7626953125,8.1943359375,223.40267181396484,A40; P100; T4 -> A40
