architecture,fold,patients,seed_2026_mean_dice,seed_2027_mean_dice,seed_2028_mean_dice,mean_across_seed_means,sd_across_seed_means,range_across_seed_means,median_patient_range_across_seeds,median_patient_sd_across_seeds,mean_paired_change_seed2027_minus_2026,mean_paired_change_seed2028_minus_2026
Standard 3D U-Net,1,41,0.7860327894884233,0.7670604044075069,0.7724643509202768,0.7751858482720689,0.00977459767926555,0.018972385080916365,0.024136375791112052,0.012349720958698903,-0.018972385080916407,-0.01356843856814639
Residual 3D U-Net,1,41,0.7956131414985873,0.7929116207367396,0.8038684032777313,0.7974643885043528,0.005708161483342255,0.01095678254099175,0.02410303456599039,0.01328670986316991,-0.0027015207618473255,0.008255261779144065
Controlled 3D V-Net,1,41,0.7989753903623664,0.7778730928307414,0.7715805689349882,0.7828096840426987,0.014349094391457817,0.027394821427378258,0.029325158740043045,0.01591145868016443,-0.021102297531625163,-0.02739482142737869
Controlled 3D U-Net++,1,41,0.7596242953845225,0.7661157675446939,0.7851350745901137,0.7702917125064433,0.013258161681084466,0.025510779205591194,0.025722131194432563,0.013193718407361884,0.006491472160171163,0.02551077920559104
nnU-Net v2 3D fullres,1,41,0.8953891487007757,0.897362005707947,0.9083685897037248,0.9003732480374825,0.006994080172735297,0.012979441002949121,0.020457462503271406,0.011163030530506877,0.0019728570071713084,0.01297944100294902
