run_id,notebook,notebook_sha256,architecture,framework,analysis_role,cv_fold,outer_split_seed,inner_split_seed,training_seed,fit_train_cases,fit_train_patients,tuning_cases,tuning_patients,outer_test_cases,outer_test_patients,split_sha256,training_budget,expected_zip,source_notebook,supersedes_previous_outer_selected_run,superseded_kaggle_kernel,zip_contract,post_return_action,assigned_to,status,result_received,detailed_zip_validated
no11,no11.ipynb,a3cbdc54b4cd7c0aa7f6a277f3903ca363c4997b010f1c5b1b4086259ba6193e,Residual 3D U-Net,keras,primary_five_fold_cross_validation,4,2026,6206,2026,379,130,96,33,119,40,a664a27ef9b23f6f5d0131128e0350bdcf6569cfa08e28047c24f652bcce125e,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,MU_Glioma_no11_residual-unet_fold4_seed2026_results.zip,generated corrected nested 35-run matrix,,,mu_glioma_detailed_zip_v2_nested,validate_and_recompute,,unassigned,,
no12,no12.ipynb,c54c99e46397dd6255eb55082ecdfe2e7252c9fdb0a930bb9f1b82c2963a485a,Residual 3D U-Net,keras,primary_five_fold_cross_validation,5,2026,6207,2026,380,130,96,33,118,40,fc04313973b90ab73bb65d621636de5410401e019c84d80c93c3efa1c73ef1e6,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,MU_Glioma_no12_residual-unet_fold5_seed2026_results.zip,generated corrected nested 35-run matrix,,,mu_glioma_detailed_zip_v2_nested,validate_and_recompute,,unassigned,,
no13,no13.ipynb,35edfd8de4122e03b3b85aa04b299017d7d514be6b1cba9dae01c3ee87b8e454,Residual 3D U-Net,keras,training_seed_robustness_fold1,1,2026,6203,2027,381,130,94,32,119,41,f2fb55fec280e117e4bc502844ace52e7eb5a8875e36d80ba5e292591c107eb0,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,MU_Glioma_no13_residual-unet_fold1_seed2027_results.zip,generated corrected nested 35-run matrix,,,mu_glioma_detailed_zip_v2_nested,validate_and_recompute,,unassigned,,
no14,no14.ipynb,066103f45e6e8848bad2d5d7440fa034083c5f52edb538fcacbd6d752bffcfa3,Residual 3D U-Net,keras,training_seed_robustness_fold1,1,2026,6203,2028,381,130,94,32,119,41,f2fb55fec280e117e4bc502844ace52e7eb5a8875e36d80ba5e292591c107eb0,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,MU_Glioma_no14_residual-unet_fold1_seed2028_results.zip,generated corrected nested 35-run matrix,,,mu_glioma_detailed_zip_v2_nested,validate_and_recompute,,unassigned,,
no15,no15.ipynb,ed3aa555e908b163cc733dc9bee870c81225caa6077d6938de174af12972c0d5,Controlled 3D V-Net,keras,primary_five_fold_cross_validation,1,2026,6203,2026,381,130,94,32,119,41,f2fb55fec280e117e4bc502844ace52e7eb5a8875e36d80ba5e292591c107eb0,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,MU_Glioma_no15_vnet_fold1_seed2026_results.zip,generated corrected nested 35-run matrix,yes,atillam/mu-glioma-adaptive-controlled-3d-vnet,mu_glioma_detailed_zip_v2_nested,validate_and_recompute,,unassigned,,
no16,no16.ipynb,b59044e6dbb159b324b00e44bbd5429483a71f05e1d93c93048fb211460c00d9,Controlled 3D V-Net,keras,primary_five_fold_cross_validation,2,2026,6204,2026,381,130,94,32,119,41,675a1598256128813e41b8b301341050284feb0709de3c63bb6a72cd5601e22e,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,MU_Glioma_no16_vnet_fold2_seed2026_results.zip,generated corrected nested 35-run matrix,,,mu_glioma_detailed_zip_v2_nested,validate_and_recompute,,unassigned,,
no17,no17.ipynb,c96aa1be162c278cf4353e97504ac9ad9005845622b0810252e785494b8e94d8,Controlled 3D V-Net,keras,primary_five_fold_cross_validation,3,2026,6205,2026,381,130,94,32,119,41,03e6710ea8a4eb8a4e679830cf1d64bde85bd9c31bfc502cf292b9eb6079023e,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,MU_Glioma_no17_vnet_fold3_seed2026_results.zip,generated corrected nested 35-run matrix,,,mu_glioma_detailed_zip_v2_nested,validate_and_recompute,,unassigned,,
no18,no18.ipynb,c506ddfbf5209c26bb7bf10d1095734e94da448d3ee697b79416077df8fc4e77,Controlled 3D V-Net,keras,primary_five_fold_cross_validation,4,2026,6206,2026,379,130,96,33,119,40,a664a27ef9b23f6f5d0131128e0350bdcf6569cfa08e28047c24f652bcce125e,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,MU_Glioma_no18_vnet_fold4_seed2026_results.zip,generated corrected nested 35-run matrix,,,mu_glioma_detailed_zip_v2_nested,validate_and_recompute,,unassigned,,
no19,no19.ipynb,d3b398661ad97915f3cac0e5b49b697c237793e939cd2e0cd4af85840cdd98c4,Controlled 3D V-Net,keras,primary_five_fold_cross_validation,5,2026,6207,2026,380,130,96,33,118,40,fc04313973b90ab73bb65d621636de5410401e019c84d80c93c3efa1c73ef1e6,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,MU_Glioma_no19_vnet_fold5_seed2026_results.zip,generated corrected nested 35-run matrix,,,mu_glioma_detailed_zip_v2_nested,validate_and_recompute,,unassigned,,
no20,no20.ipynb,c575e82a809dae8c1983cfa3626cba5debccd5a5270d313a7354a864711a52ee,Controlled 3D V-Net,keras,training_seed_robustness_fold1,1,2026,6203,2027,381,130,94,32,119,41,f2fb55fec280e117e4bc502844ace52e7eb5a8875e36d80ba5e292591c107eb0,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,MU_Glioma_no20_vnet_fold1_seed2027_results.zip,generated corrected nested 35-run matrix,,,mu_glioma_detailed_zip_v2_nested,validate_and_recompute,,unassigned,,
no21,no21.ipynb,c8ed0c7915000692424239190f4bf68a4eaf19742cdc1daab31bcfff7ba3d8f8,Controlled 3D V-Net,keras,training_seed_robustness_fold1,1,2026,6203,2028,381,130,94,32,119,41,f2fb55fec280e117e4bc502844ace52e7eb5a8875e36d80ba5e292591c107eb0,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,MU_Glioma_no21_vnet_fold1_seed2028_results.zip,generated corrected nested 35-run matrix,,,mu_glioma_detailed_zip_v2_nested,validate_and_recompute,,unassigned,,
no22,no22.ipynb,27665df427a6bfafd0210ddfbd8436d9cfb4fa7dc0560299d13d330ef2e26c74,Controlled 3D U-Net++,keras,primary_five_fold_cross_validation,1,2026,6203,2026,381,130,94,32,119,41,f2fb55fec280e117e4bc502844ace52e7eb5a8875e36d80ba5e292591c107eb0,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,MU_Glioma_no22_unetplusplus_fold1_seed2026_results.zip,generated corrected nested 35-run matrix,yes,atillam/mu-glioma-adaptive-controlled-3d-unet-plus-plus,mu_glioma_detailed_zip_v2_nested,validate_and_recompute,,unassigned,,
no23,no23.ipynb,5a00c360869c259e6497ee235bd279a7a062facd14cf4bf0492f32b5b13f61c5,Controlled 3D U-Net++,keras,primary_five_fold_cross_validation,2,2026,6204,2026,381,130,94,32,119,41,675a1598256128813e41b8b301341050284feb0709de3c63bb6a72cd5601e22e,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,MU_Glioma_no23_unetplusplus_fold2_seed2026_results.zip,generated corrected nested 35-run matrix,,,mu_glioma_detailed_zip_v2_nested,validate_and_recompute,,unassigned,,
no24,no24.ipynb,6db12ba87148c97a039f6d91143c20c217ac40a5a5c2eb7168c0f026f5aafd6c,Controlled 3D U-Net++,keras,primary_five_fold_cross_validation,3,2026,6205,2026,381,130,94,32,119,41,03e6710ea8a4eb8a4e679830cf1d64bde85bd9c31bfc502cf292b9eb6079023e,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,MU_Glioma_no24_unetplusplus_fold3_seed2026_results.zip,generated corrected nested 35-run matrix,,,mu_glioma_detailed_zip_v2_nested,validate_and_recompute,,unassigned,,
no25,no25.ipynb,3d24e95821b327f392bb5b9054d925af788a21ffd346193a139676007e9dfb56,Controlled 3D U-Net++,keras,primary_five_fold_cross_validation,4,2026,6206,2026,379,130,96,33,119,40,a664a27ef9b23f6f5d0131128e0350bdcf6569cfa08e28047c24f652bcce125e,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,MU_Glioma_no25_unetplusplus_fold4_seed2026_results.zip,generated corrected nested 35-run matrix,,,mu_glioma_detailed_zip_v2_nested,validate_and_recompute,,unassigned,,
no26,no26.ipynb,4637fecedcf4ec2ae6705878f347530487e93dd9d13fbfa11aa325f121bf1b1d,Controlled 3D U-Net++,keras,primary_five_fold_cross_validation,5,2026,6207,2026,380,130,96,33,118,40,fc04313973b90ab73bb65d621636de5410401e019c84d80c93c3efa1c73ef1e6,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,MU_Glioma_no26_unetplusplus_fold5_seed2026_results.zip,generated corrected nested 35-run matrix,,,mu_glioma_detailed_zip_v2_nested,validate_and_recompute,,unassigned,,
no27,no27.ipynb,3f09933df5d207680e45aeefb6664209b4a4bf165015ed5918dfbe3fdfcac118,Controlled 3D U-Net++,keras,training_seed_robustness_fold1,1,2026,6203,2027,381,130,94,32,119,41,f2fb55fec280e117e4bc502844ace52e7eb5a8875e36d80ba5e292591c107eb0,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,MU_Glioma_no27_unetplusplus_fold1_seed2027_results.zip,generated corrected nested 35-run matrix,,,mu_glioma_detailed_zip_v2_nested,validate_and_recompute,,unassigned,,
no28,no28.ipynb,62a10ad1fac5c4adca08187908124fd61e5d9e398be8af0964c2d0645bb37442,Controlled 3D U-Net++,keras,training_seed_robustness_fold1,1,2026,6203,2028,381,130,94,32,119,41,f2fb55fec280e117e4bc502844ace52e7eb5a8875e36d80ba5e292591c107eb0,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,MU_Glioma_no28_unetplusplus_fold1_seed2028_results.zip,generated corrected nested 35-run matrix,,,mu_glioma_detailed_zip_v2_nested,validate_and_recompute,,unassigned,,
no29,no29.ipynb,d88a576e4c7550096795d44bff2a5c9663386349741bd48aef598b23b36229e5,nnU-Net v2 3D fullres,nnunet,primary_five_fold_cross_validation,1,2026,6203,2026,381,130,94,32,119,41,f2fb55fec280e117e4bc502844ace52e7eb5a8875e36d80ba5e292591c107eb0,min 100/max 150; early stop with min_delta 0.002/patience 15,MU_Glioma_no29_nnunet_fold1_seed2026_reports.zip,generated corrected nested 35-run matrix,,,mu_glioma_detailed_zip_v2_nested,validate_and_recompute,,unassigned,,
no30,no30.ipynb,1e89f9a9df4c4cd9b29dca76c44a24d44c9e6e28763113bc8b0727534695575d,nnU-Net v2 3D fullres,nnunet,primary_five_fold_cross_validation,2,2026,6204,2026,381,130,94,32,119,41,675a1598256128813e41b8b301341050284feb0709de3c63bb6a72cd5601e22e,min 100/max 150; early stop with min_delta 0.002/patience 15,MU_Glioma_no30_nnunet_fold2_seed2026_reports.zip,generated corrected nested 35-run matrix,,,mu_glioma_detailed_zip_v2_nested,validate_and_recompute,,unassigned,,
no31,no31.ipynb,e1c6f5ed87e39b5a7acfc58db4ea3a7348b5d89004f7d360bf044d661d9ccb53,nnU-Net v2 3D fullres,nnunet,primary_five_fold_cross_validation,3,2026,6205,2026,381,130,94,32,119,41,03e6710ea8a4eb8a4e679830cf1d64bde85bd9c31bfc502cf292b9eb6079023e,min 100/max 150; early stop with min_delta 0.002/patience 15,MU_Glioma_no31_nnunet_fold3_seed2026_reports.zip,generated corrected nested 35-run matrix,,,mu_glioma_detailed_zip_v2_nested,validate_and_recompute,,unassigned,,
no32,no32.ipynb,e9817a92c36abbd1bab5725500eb9da04c7721f4ba7762b233fa721bf3de3a02,nnU-Net v2 3D fullres,nnunet,primary_five_fold_cross_validation,4,2026,6206,2026,379,130,96,33,119,40,a664a27ef9b23f6f5d0131128e0350bdcf6569cfa08e28047c24f652bcce125e,min 100/max 150; early stop with min_delta 0.002/patience 15,MU_Glioma_no32_nnunet_fold4_seed2026_reports.zip,generated corrected nested 35-run matrix,,,mu_glioma_detailed_zip_v2_nested,validate_and_recompute,,unassigned,,
no33,no33.ipynb,568727448b6d4875cbd019a89f56f8b2e4821fd36b1eba0dc61d529564ac5b53,nnU-Net v2 3D fullres,nnunet,primary_five_fold_cross_validation,5,2026,6207,2026,380,130,96,33,118,40,fc04313973b90ab73bb65d621636de5410401e019c84d80c93c3efa1c73ef1e6,min 100/max 150; early stop with min_delta 0.002/patience 15,MU_Glioma_no33_nnunet_fold5_seed2026_reports.zip,generated corrected nested 35-run matrix,,,mu_glioma_detailed_zip_v2_nested,validate_and_recompute,,unassigned,,
no34,no34.ipynb,c7679218ab3c928e9f219aa09fd7a357c0a5677bf5f4ce36eced4d0274065513,nnU-Net v2 3D fullres,nnunet,training_seed_robustness_fold1,1,2026,6203,2027,381,130,94,32,119,41,f2fb55fec280e117e4bc502844ace52e7eb5a8875e36d80ba5e292591c107eb0,min 100/max 150; early stop with min_delta 0.002/patience 15,MU_Glioma_no34_nnunet_fold1_seed2027_reports.zip,generated corrected nested 35-run matrix,,,mu_glioma_detailed_zip_v2_nested,validate_and_recompute,,unassigned,,
no35,no35.ipynb,0a7d15dae019ae9158b653c59d65affc2b1b3504a987ebdbc0a2d971173bbf32,nnU-Net v2 3D fullres,nnunet,training_seed_robustness_fold1,1,2026,6203,2028,381,130,94,32,119,41,f2fb55fec280e117e4bc502844ace52e7eb5a8875e36d80ba5e292591c107eb0,min 100/max 150; early stop with min_delta 0.002/patience 15,MU_Glioma_no35_nnunet_fold1_seed2028_reports.zip,generated corrected nested 35-run matrix,,,mu_glioma_detailed_zip_v2_nested,validate_and_recompute,,unassigned,,
